Wavelength [nm],Dim,Moderate,Bright 
664,1.71E-05,3.50E-04,5.72E-03
665,1.26E-05,2.87E-04,4.64E-03
666,1.24E-05,2.59E-04,4.24E-03
667,1.20E-05,2.39E-04,3.97E-03
668,1.06E-05,2.30E-04,3.87E-03
669,9.82E-06,2.16E-04,3.66E-03
670,9.37E-06,2.02E-04,3.40E-03
671,8.57E-06,1.94E-04,3.25E-03
672,8.19E-06,1.86E-04,3.09E-03
673,8.34E-06,1.79E-04,2.91E-03
674,8.30E-06,1.73E-04,2.81E-03
675,8.23E-06,1.68E-04,2.74E-03
676,8.27E-06,1.66E-04,2.78E-03
677,8.66E-06,1.71E-04,2.88E-03
678,9.34E-06,1.82E-04,3.05E-03
679,9.97E-06,1.90E-04,3.11E-03
680,1.05E-05,1.94E-04,3.14E-03
681,1.08E-05,1.88E-04,3.10E-03
682,1.10E-05,1.84E-04,3.00E-03
683,1.10E-05,1.80E-04,2.89E-03
684,1.16E-05,1.78E-04,2.92E-03
685,1.44E-05,2.08E-04,3.47E-03
686,2.00E-05,2.76E-04,4.65E-03
687,2.43E-05,3.28E-04,5.58E-03
688,2.69E-05,3.57E-04,6.13E-03
689,2.39E-05,3.08E-04,5.42E-03
690,2.11E-05,2.51E-04,4.50E-03
691,1.83E-05,1.87E-04,3.42E-03
692,2.23E-05,2.16E-04,3.87E-03
693,2.47E-05,2.35E-04,4.17E-03
694,2.36E-05,2.29E-04,4.07E-03
695,1.85E-05,1.77E-04,3.24E-03
696,1.22E-05,1.13E-04,2.19E-03
697,9.60E-06,8.18E-05,1.62E-03
698,8.79E-06,6.59E-05,1.32E-03
699,9.89E-06,6.69E-05,1.34E-03
700,1.14E-05,7.70E-05,1.54E-03
701,1.38E-05,9.50E-05,1.87E-03
702,1.91E-05,1.36E-04,2.55E-03
703,3.04E-05,2.06E-04,3.83E-03
704,4.61E-05,2.97E-04,5.57E-03
705,8.30E-05,5.21E-04,9.47E-03
706,1.21E-04,7.50E-04,1.35E-02
707,1.58E-04,9.75E-04,1.74E-02
708,1.74E-04,1.05E-03,1.86E-02
709,1.77E-04,1.05E-03,1.85E-02
710,1.63E-04,9.50E-04,1.69E-02
711,1.49E-04,8.61E-04,1.53E-02
712,1.37E-04,7.83E-04,1.38E-02
713,1.13E-04,6.32E-04,1.10E-02
714,8.35E-05,4.57E-04,7.89E-03
715,4.39E-05,2.41E-04,4.20E-03
716,2.33E-05,1.26E-04,2.24E-03
717,1.33E-05,6.81E-05,1.24E-03
718,1.05E-05,5.49E-05,1.02E-03
719,9.04E-06,4.57E-05,8.53E-04
720,9.19E-06,4.18E-05,7.53E-04
721,8.07E-06,3.74E-05,7.21E-04
722,6.85E-06,3.35E-05,6.96E-04
723,6.09E-06,3.09E-05,6.56E-04
724,6.06E-06,3.04E-05,6.11E-04
725,6.46E-06,3.11E-05,5.66E-04
726,6.98E-06,3.02E-05,5.67E-04
727,7.29E-06,2.85E-05,5.62E-04
728,7.32E-06,2.56E-05,5.49E-04
729,6.43E-06,2.69E-05,5.18E-04
730,5.59E-06,2.79E-05,4.83E-04
731,5.83E-06,2.34E-05,4.51E-04
732,5.67E-06,2.08E-05,4.28E-04
733,5.20E-06,1.93E-05,4.13E-04
734,5.06E-06,1.85E-05,3.65E-04
735,4.93E-06,1.84E-05,3.29E-04
736,4.81E-06,1.99E-05,3.21E-04
737,4.72E-06,1.95E-05,3.22E-04
738,4.75E-06,1.82E-05,3.31E-04
739,5.82E-06,1.71E-05,3.87E-04
740,7.42E-06,2.23E-05,4.73E-04
741,9.57E-06,3.45E-05,5.92E-04
742,1.09E-05,3.86E-05,6.53E-04
743,1.15E-05,4.00E-05,6.75E-04
744,9.93E-06,3.67E-05,6.16E-04
745,8.65E-06,3.10E-05,5.43E-04
746,7.57E-06,2.42E-05,4.66E-04
747,7.47E-06,2.19E-05,4.02E-04
748,6.85E-06,1.96E-05,3.34E-04
749,5.59E-06,1.73E-05,2.61E-04
750,5.52E-06,1.54E-05,2.48E-04
751,5.51E-06,1.38E-05,2.41E-04
752,5.01E-06,1.32E-05,2.19E-04
753,5.27E-06,1.28E-05,1.92E-04
754,5.94E-06,1.26E-05,1.62E-04
755,6.03E-06,1.32E-05,1.42E-04
756,6.96E-06,1.46E-05,1.33E-04
757,9.00E-06,1.69E-05,1.38E-04
758,1.18E-05,2.30E-05,1.91E-04
759,1.45E-05,2.79E-05,2.36E-04
760,1.65E-05,2.66E-05,2.24E-04
761,1.60E-05,2.33E-05,1.97E-04
762,1.40E-05,1.90E-05,1.65E-04
763,1.12E-05,1.60E-05,1.74E-04
764,9.48E-06,1.30E-05,1.85E-04
765,9.02E-06,9.87E-06,1.99E-04
766,9.32E-06,1.08E-05,1.64E-04
767,9.94E-06,1.16E-05,1.37E-04
768,1.11E-05,1.04E-05,1.57E-04
769,1.27E-05,9.99E-06,1.63E-04
770,1.44E-05,1.03E-05,1.64E-04
771,1.59E-05,1.27E-05,1.73E-04
772,1.69E-05,1.32E-05,1.97E-04
773,1.75E-05,1.18E-05,2.35E-04
774,1.80E-05,1.31E-05,2.09E-04
775,1.87E-05,1.36E-05,1.73E-04
776,1.97E-05,1.26E-05,1.29E-04
777,2.12E-05,9.84E-06,1.12E-04
778,2.29E-05,6.36E-06,9.99E-05
779,2.47E-05,2.29E-06,6.59E-05
780,2.67E-05,1.68E-06,5.65E-05
